station_code,station_name,postal_code,latitude,longitude
EW1,PASIR RIS MRT STATION (EW1),519634,1.37304331635804,103.949284527763
EW2,TAMPINES MRT STATION (EW2),529538,1.35330167637376,103.945144586749
EW3,SIMEI MRT STATION (EW3),529888,1.34319707851829,103.953377214378
EW4,TANAH MERAH MRT STATION (EW4),467356,1.32718729074675,103.946348600798
EW5,BEDOK MRT STATION (EW5),467347,1.32397996868158,103.929984495066
EW6,KEMBANGAN MRT STATION (EW6),416551,1.3210381335934,103.912947930851
EW7,EUNOS MRT STATION (EW7),409423,1.31978354916088,103.903225807255
EW8,PAYA LEBAR MRT STATION (EW8),409006,1.31811149224527,103.893060771576
EW9,ALJUNIED MRT STATION (EW9),388310,1.3164326118157,103.882906044385
EW10,KALLANG MRT STATION (EW10),387405,1.31148890998818,103.871386541754
EW11,LAVENDER MRT STATION (EW11),208699,1.30737781747063,103.862767633888
EW12,BUGIS MRT STATION (EW12),188022,1.30046508509717,103.855706730933
EW13,CITY HALL MRT STATION (EW13 / NS25),179100,1.29293672227779,103.852585580366
EW14,RAFFLES PLACE MRT STATION (EW14 / NS26),048618,1.28412561043658,103.851461712342
EW15,TANJONG PAGAR MRT STATION (EW15),069119,1.27656131737246,103.845725186759
EW16,OUTRAM PARK MRT STATION (EW16),169037,1.28140504772213,103.839130979249
EW17,TIONG BAHRU MRT STATION (EW17),168731,1.28610253615775,103.827445112419
EW18,REDHILL MRT STATION (EW18),158792,1.28963453412887,103.81674097205
EW19,QUEENSTOWN MRT STATION (EW19),149729,1.29455085184931,103.806077155982
EW20,COMMONWEALTH MRT STATION (EW20),149735,1.30250199924325,103.798228523336
EW21,BUONA VISTA MRT STATION (EW21),139345,1.3072237082044,103.790253514502
EW22,DOVER MRT STATION (EW22),138677,1.31140529320963,103.778637841909
EW23,CLEMENTI MRT STATION (EW23),129580,1.31511625277378,103.765191452888
EW24,JURONG EAST MRT STATION (EW24 / NS1),609690,1.33315281585758,103.742286332403
EW25,CHINESE GARDEN MRT STATION (EW25),609959,1.34235282081401,103.732596738363
EW26,LAKESIDE MRT STATION (EW26),649845,1.34425911493819,103.720949087456
EW27,BOON LAY MRT STATION (EW27),649846,1.33860405469845,103.706064622772
EW28,PIONEER MRT STATION (EW28),648310,1.33758701106708,103.697321608474
EW29,JOO KOON MRT STATION (EW29),629116,1.3277170408447,103.678374996165
EW30,GUL CIRCLE MRT STATION (EW30),637288,1.31947090075208,103.660530461345
EW31,TUAS CRESCENT MRT STATION (EW31),639608,1.32102695598684,103.649078235627
EW32,TUAS WEST ROAD MRT STATION (EW32),639609,1.32998504653102,103.639616648771
EW33,TUAS LINK MRT STATION (EW33),638418,1.34088242451105,103.636991425128
NS2,BUKIT BATOK MRT STATION (NS2),659958,1.34903331201636,103.749566478309
NS3,BUKIT GOMBAK MRT STATION (NS3),659083,1.35861159094192,103.751790910733
NS4,CHOA CHU KANG MRT STATION (NS4),689810,1.38536316540225,103.744370779756
